book_id,title,author,genre,publish_year,total_copies
B0001,Executive range loss from everybody,Donald Douglas,Mystery,1982,4
B0002,Could military drive,Scott Patrick,Fantasy,2000,4
B0003,Produce race return pretty,Deanna Barnes MD,Science,2005,6
B0004,On yes,Grace Reeves,Fiction,2000,3
B0005,Point little wait grow feel,Matthew Grant,Biography,2013,1
B0006,Best campaign else,Pamela White,Technology,1997,2
B0007,Pressure develop development the,Stephen Watson,Poetry,2002,6
B0008,Family surface like term on,Andrea Preston,Fiction,1984,4
B0009,Build quite morning including,Brittany Gay,Poetry,2009,7
B0010,Important notice trade leader,Mike Maxwell,Poetry,2014,1
B0011,Forward would finish around,Daniel Ayala,Biography,1995,2
B0012,Share majority shake because pass,Jennifer Sanford,Sci-Fi,2014,4
B0013,Above move room wear,Nicole Schmidt,Romance,1985,1
B0014,Quality phone,Michael Cooper,Biography,1980,7
B0015,Bill me fill,Angel Fry,Romance,1982,4
B0016,Road others full thousand,Grace Valenzuela MD,Fantasy,2004,7
B0017,Close trade speech,Danny Mercer,Mystery,1994,7
B0018,Safe operation college,Matthew Johnson,History,2014,1
B0019,Side perhaps order,Brian Huff,History,1993,4
B0020,Ready indicate,Joshua Wells,Fiction,2018,1
B0021,Day rate act,Brian Meyer,Technology,1992,7
B0022,Paper case store bit responsibility,Brian Rodriguez,Sci-Fi,2012,6
B0023,Participant sing story,Heather Ortiz,Poetry,2006,7
B0024,Always many debate,Erin Smith,Poetry,2006,2
B0025,Trade structure,Brittany Davis,Science,2017,6
B0026,Avoid rich toward popular lead,Deborah Williams,Biography,1987,6
B0027,Them system growth,Jessica Wilson,Technology,1998,6
B0028,Act catch,Erin Kline,Poetry,1999,1
B0029,Environmental run head garden box,Jesus Houston,Self-Help,2019,6
B0030,Son power someone both,Amy Dunlap,Fantasy,2017,7
B0031,Billion treat lot,Jessica Carr,Mystery,1998,6
B0032,Particularly television they road,Karen Freeman,Technology,1982,2
B0033,Key as pressure actually,Kelly Manning,Technology,1988,4
B0034,Difference what their mind read,Jessica Barber,Biography,2024,7
B0035,Generation put his stuff,Victoria Brown,Self-Help,1998,7
B0036,Measure light many,Paul Flores,Biography,1993,6
B0037,Wife anyone development poor,David Stevens,History,2015,1
B0038,Large task language budget market,Ashley Gutierrez,Self-Help,2012,4
B0039,Near stay social white point,Kristina Pena,Self-Help,1993,3
B0040,Wear guy approach development,Justin Harvey,History,2014,1
B0041,Respond guy laugh best,April Kelly,Poetry,1993,6
B0042,Natural hear blood,Katherine Underwood,Self-Help,1983,3
B0043,Blood particularly could us,Jim Harrington,Biography,2007,2
B0044,Blue increase unit study,Patricia Hayes,Self-Help,2001,1
B0045,What care material morning any,Sara Webb,Science,1995,5
B0046,Sit travel reality community spring,Matthew Obrien,Fiction,2009,4
B0047,Mean his woman trouble,Denise Stuart,Technology,1990,6
B0048,Laugh card include,Nicole Evans,Sci-Fi,2000,7
B0049,Team Republican very plan cut,Donna Reed,History,1984,4
B0050,Wonder practice when,Melissa Morris,History,1982,4
B0051,Set no,Terri Mckinney,Fiction,1988,5
B0052,Experience suggest space mission agent,Michael Gonzalez,Self-Help,1983,3
B0053,Worker raise chair,Richard Harris,Fiction,2013,1
B0054,Allow sport bill test science,Natalie Hoffman,Science,2024,7
B0055,Memory someone receive,Amber James,Science,1991,6
