transaction_id,member_id,book_id,branch_id,checkout_date,due_date,return_date,fine_amount
T000001,M0036,B0151,BR2,2024-11-05 19:28:00,2024-11-19 19:28:00,2024-11-11 19:28:00,0.0
T000002,M0267,B0412,BR3,2025-05-07 11:26:00,2025-05-21 11:26:00,2025-05-24 11:26:00,0.75
T000003,M0573,B0415,BR3,2025-04-30 16:38:00,2025-05-14 16:38:00,2025-05-06 16:38:00,0.0
T000004,M0042,B0385,BR4,2025-04-06 12:23:00,2025-04-20 12:23:00,2025-04-17 12:23:00,0.0
T000005,M0063,B0148,BR1,2024-03-28 17:10:00,2024-04-11 17:10:00,2024-04-02 17:10:00,0.0
T000006,M0694,B0435,BR4,2024-03-06 15:35:00,2024-03-20 15:35:00,2024-03-31 15:35:00,2.75
T000007,M0125,B0240,BR3,2024-10-07 12:54:00,2024-10-21 12:54:00,2024-11-06 12:54:00,4.0
T000008,M0401,B0064,BR1,2025-11-14 13:05:00,2025-11-28 13:05:00,2025-11-23 13:05:00,0.0
T000009,M0187,B0148,BR3,2025-01-06 15:44:00,2025-01-20 15:44:00,2025-01-10 15:44:00,0.0
T000010,M0046,B0030,BR1,2025-02-12 13:12:00,2025-02-26 13:12:00,2025-02-17 13:12:00,0.0
T000011,M0513,B0178,BR2,2025-04-30 13:57:00,2025-05-14 13:57:00,2025-06-01 13:57:00,4.5
T000012,M0213,B0268,BR2,2025-08-10 17:30:00,2025-08-24 17:30:00,2025-08-16 17:30:00,0.0
T000013,M0674,B0223,BR4,2025-01-08 16:28:00,2025-01-22 16:28:00,2025-01-11 16:28:00,0.0
T000014,M0421,B0024,BR1,2025-11-22 16:25:00,2025-12-06 16:25:00,2025-12-05 16:25:00,0.0
T000015,M0045,B0138,BR1,2024-12-18 19:50:00,2025-01-01 19:50:00,2025-01-02 19:50:00,0.25
T000016,M0679,B0366,BR1,2025-01-02 14:05:00,2025-01-16 14:05:00,2025-01-13 14:05:00,0.0
T000017,M0591,B0486,BR1,2025-01-23 18:24:00,2025-02-06 18:24:00,2025-01-24 18:24:00,0.0
T000018,M0201,B0241,BR2,2024-08-26 15:58:00,2024-09-09 15:58:00,2024-09-05 15:58:00,0.0
T000019,M0778,B0138,BR3,2024-05-09 12:03:00,2024-05-23 12:03:00,2024-05-15 12:03:00,0.0
T000020,M0638,B0419,BR1,2025-04-08 16:25:00,2025-04-22 16:25:00,2025-04-13 16:25:00,0.0
T000021,M0045,B0448,BR1,2024-11-24 16:41:00,2024-12-08 16:41:00,2024-12-19 16:41:00,2.75
T000022,M0708,B0313,BR3,2024-04-15 14:07:00,2024-04-29 14:07:00,2024-04-17 14:07:00,0.0
T000023,M0466,B0462,BR2,2025-10-14 12:50:00,2025-10-28 12:50:00,2025-11-14 12:50:00,4.25
T000024,M0784,B0453,BR2,2025-01-10 13:44:00,2025-01-24 13:44:00,2025-01-18 13:44:00,0.0
T000025,M0110,B0082,BR2,2025-04-09 13:53:00,2025-04-23 13:53:00,2025-04-17 13:53:00,0.0
T000026,M0294,B0176,BR2,2024-10-30 19:39:00,2024-11-13 19:39:00,2024-11-08 19:39:00,0.0
T000027,M0443,B0085,BR3,2024-02-29 15:45:00,2024-03-14 15:45:00,2024-03-01 15:45:00,0.0
T000028,M0280,B0209,BR1,2025-08-22 17:58:00,2025-09-05 17:58:00,2025-09-04 17:58:00,0.0
T000029,M0648,B0490,BR3,2025-04-30 17:54:00,2025-05-14 17:54:00,2025-05-14 17:54:00,0.0
T000030,M0799,B0481,BR3,2024-04-05 16:00:00,2024-04-19 16:00:00,2024-04-15 16:00:00,0.0
T000031,M0074,B0227,BR2,2024-05-07 10:13:00,2024-05-21 10:13:00,2024-06-01 10:13:00,2.75
T000032,M0191,B0405,BR1,2024-05-02 16:09:00,2024-05-16 16:09:00,2024-05-03 16:09:00,0.0
T000033,M0765,B0293,BR2,2024-07-17 17:54:00,2024-07-31 17:54:00,2024-07-24 17:54:00,0.0
T000034,M0664,B0348,BR3,2024-07-15 13:25:00,2024-07-29 13:25:00,2024-08-11 13:25:00,3.25
T000035,M0529,B0305,BR1,2025-07-04 15:22:00,2025-07-18 15:22:00,2025-07-06 15:22:00,0.0
T000036,M0604,B0193,BR3,2024-05-16 14:06:00,2024-05-30 14:06:00,2024-05-23 14:06:00,0.0
T000037,M0728,B0120,BR1,2024-07-10 16:50:00,2024-07-24 16:50:00,2024-08-03 16:50:00,2.5
T000038,M0432,B0149,BR1,2025-01-30 16:28:00,2025-02-13 16:28:00,2025-02-09 16:28:00,0.0
T000039,M0521,B0291,BR1,2025-04-28 14:23:00,2025-05-12 14:23:00,2025-05-23 14:23:00,2.75
